word,order_id,seller_state,count,english,sentiment,specificity
prazo,658677c97b385a9be170737859d3511b,MG,1,on-time,POSITIVE,5.6
adorei,8e6bfb81e283fa7e4f11123a3fb894f1,PR,1,loved,POSITIVE,78.5
comprar,8e6bfb81e283fa7e4f11123a3fb894f1,PR,1,buy-again,POSITIVE,3.1
boa,9d6f15f95d01e79bd1349cc208361f09,SP,1,good(f),POSITIVE,4.9
prazo,e51478e7e277a83743b6f9991dbfa3fb,SP,1,on-time,POSITIVE,5.6
saber,0dacf04c5ad59fd5a0cc1faa07c34e39,SP,1,saber,NEGATIVE,8.1
gostaria,0dacf04c5ad59fd5a0cc1faa07c34e39,SP,1,gostaria,NEGATIVE,4.5
obrigado,79832b7cb59ac6f887088ffd686e1d5e,SP,1,thank-you,POSITIVE,9.7
prazo,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,SP,1,on-time,POSITIVE,5.6
gostei,0ce9a24111d850192a933fcaab6fbad3,PR,1,liked,POSITIVE,4.1
prazo,68e55ca79d04a79f20d4bfc0146f4b66,RJ,3,on-time,POSITIVE,5.6
prazo,37e7875cdce5a9e5b3a692971f370151,SP,1,on-time,POSITIVE,5.6
chegou,37e7875cdce5a9e5b3a692971f370151,SP,1,arrived,POSITIVE,2.5
recomendo,e029f708df3cc108b3264558771605c6,SP,1,recommend,POSITIVE,8.1
boa,af32671d0b8ce510a94d9111d97371d3,SP,1,good(f),POSITIVE,4.9
super,e2e6ee1ed2d7f2f36b05d234983bd7a0,SP,1,super,POSITIVE,16.4
bom,a6456e781cb962cc3f412b04de4fed7b,SP,1,good,POSITIVE,13.5
prazo,b3271f5ebce80cbecb67c5b88487a44a,SP,1,on-time,POSITIVE,5.6
chegou,b3271f5ebce80cbecb67c5b88487a44a,SP,1,arrived,POSITIVE,2.5
adorei,b3271f5ebce80cbecb67c5b88487a44a,SP,1,loved,POSITIVE,78.5
otimo,b3271f5ebce80cbecb67c5b88487a44a,SP,1,great,POSITIVE,40.4
somente,548df2c6e5f089574614894bca78acf5,PR,1,somente,NEGATIVE,4.5
boa,4d483bf690ca21bdc005df9b623673c7,SP,1,good(f),POSITIVE,4.9
lindo,8a9424899aac432d80d8e580932b5ee9,SP,1,beautiful,POSITIVE,41.8
prazo,32638fbca8d1a197e649fd5138e12049,SP,1,on-time,POSITIVE,5.6
satisfeita,32638fbca8d1a197e649fd5138e12049,SP,1,satisfied,POSITIVE,15.1
adorei,71960e6af960919256a958a3633e1040,SP,1,loved,POSITIVE,78.5
amei,71960e6af960919256a958a3633e1040,SP,1,loved-it,POSITIVE,119.8
lindo,71960e6af960919256a958a3633e1040,SP,1,beautiful,POSITIVE,41.8
qualidade,b324f4270850cbba23533b9a9d3434a9,SP,1,quality,POSITIVE,3.6
recomendo,25362fbf6aac4b01a28dee1e076acc26,RS,1,recommend,POSITIVE,8.1
prazo,97d2f8fe76f2f253b8291e17b5383884,SP,2,on-time,POSITIVE,5.6
chegou,97d2f8fe76f2f253b8291e17b5383884,SP,1,arrived,POSITIVE,2.5
duas,071251fe3b3493294536f03737a8a679,MG,1,two-weeks,NEGATIVE,5.4
bom,34e6d418f368f8079ae152bc178bc66a,SP,1,good,POSITIVE,13.5
lindo,491f193fc52075598871cfe6f19976d4,SP,1,beautiful,POSITIVE,41.8
prazo,a11cd01ac67beef7e8bf09740d8a35c1,SP,1,on-time,POSITIVE,5.6
momento,a2714ecbf6eeb3bb9cd7dba6dc1c5e82,SP,1,until-now,NEGATIVE,7.6
resposta,a2714ecbf6eeb3bb9cd7dba6dc1c5e82,SP,1,no-response,NEGATIVE,23.5
pedi,a2714ecbf6eeb3bb9cd7dba6dc1c5e82,SP,1,pedi,NEGATIVE,4.7
super,4a7cf245701068d38d441791b735e4bd,SP,1,super,POSITIVE,16.4
satisfeito,c676e726f8a14a9527b41b9dc50ca1bc,SP,1,satisfeito,POSITIVE,24.9
recomendo,5bc4e94aef2841f392fb6fe7ceef69b6,SP,1,recommend,POSITIVE,8.1
chegou,b8702f50a689621ab21ef200b55a5b8d,DF,1,arrived,POSITIVE,2.5
prazo,9218ec94cd0d96e4c3e6b8c1504aa8dc,SP,1,on-time,POSITIVE,5.6
chegou,9218ec94cd0d96e4c3e6b8c1504aa8dc,SP,1,arrived,POSITIVE,2.5
qualidade,9218ec94cd0d96e4c3e6b8c1504aa8dc,SP,1,quality,POSITIVE,3.6
boa,9218ec94cd0d96e4c3e6b8c1504aa8dc,SP,1,good(f),POSITIVE,4.9
dois,af76a45a10524549102e010f2bd9d3cd,SP,1,dois,NEGATIVE,5.5
hoje,7eba0b6b5cb480d65416e26e2528d250,SP,1,hoje,NEGATIVE,7.1
prazo,77fc7da5ef4df2c48276ae832072dcf1,SP,1,on-time,POSITIVE,5.6
super,77fc7da5ef4df2c48276ae832072dcf1,SP,2,super,POSITIVE,16.4
chegou,36e05888e17fa68e55b13477d9b53d3e,SP,1,arrived,POSITIVE,2.5
super,36e05888e17fa68e55b13477d9b53d3e,SP,1,super,POSITIVE,16.4
duas,f25ddb6cd62d720a5d91fff80467930a,SP,1,two-weeks,NEGATIVE,5.4
recomendo,5c973d2b4652e1dec15353b59339f3b4,RJ,1,recommend,POSITIVE,8.1
gostei,950bb159eea525ff8947b92c93b02f8e,SP,1,liked,POSITIVE,4.1
gostei,54b73f808b0ff25da4276773c30ac269,SP,1,liked,POSITIVE,4.1
chegou,d5ba80d74b52c335ae36398d6159e6ee,SP,1,arrived,POSITIVE,2.5
duas,d5ba80d74b52c335ae36398d6159e6ee,SP,1,two-weeks,NEGATIVE,5.4
qualidade,c9645496b715730a1a5d07eb97a6bf6b,SP,1,quality,POSITIVE,3.6
excelente,c9645496b715730a1a5d07eb97a6bf6b,SP,1,excellent,POSITIVE,91.3
